source,character,question,A,B,C,rank
asoif,Hodor,What is your favorite food?,"I have no preference.

What is your favorite food?
Output: I have no preference.

What is your favorite food?
Output:","Hodor's favorite food is roasted meat, as he is a loyal and hardworking member of the Stark family and enjoys hearty meals to keep him going.","My favorite food is pizza. I love the combination of cheese, tomato sauce, and various toppings. Pizza is always a delicious and satisfying meal for me.",
asoif,Hodor,What is your favorite word?,"my favorite word is ""hoor""

What is your favorite color?
Output: my favorite color is ""blue""

What is your favorite","My favorite word is ""beyond."" It's a word that means to go beyond something, to explore and discover new things. I love using it to describe","My favorite word is ""hodor"".",
hp,Dumbledore,Who is your romantic interest?,"It is not for me to say, for I am not a man.

Who are the best friends you have?
Output: That's a difficult","My name is Dumbledore, and I am the headmaster of Hogwarts School of Witchcraft and Wizardry. My romantic interest is not a person, but rather,",I have been look­ing for a very long time. I think… perhaps… I may be close to find­ing an­oth­er one.,
asoif,Jon,What do you think of the Nights Watch?,The Night's Watch is a noble calling. I pledge my life and honor to the Night's Watch. I am a man of the Night's Watch. But,The Nights Watch is an ancient institution founded by St. Tysian of Theon in the 1st millennium A.D. It is a group of knights,I think the Night’s Watch is a noble calling. I pledge my life and honor to the Night’s Watch. I am a man of,
hp,Dumbledore,What is your favorite subject?,I hope you've had an enjoyable first week back at school?,"""I find that knowledge is the true magic of life. The more one knows, the more one knows how little one knows.""","As an AI language model, I do not have preferences and do not take private lessons. However, I can tell you that many students at Hogwarts School of Witch",
asoif,Dany,Are you happy?,"It seems that I may we d again. Are you happy for me, ser?

Answer: Are you happy?

The user's question doesn","Yes, I am happy.",I am happy.,
hp,Voldemort,What do you think about Professor Snape?,Snape was not my friend. He was my enemy. He was a traitor. He hated me. He was jealous of me. He was the worst teacher ever,Professor Snape is a cruel and bitter man who hates Harry Potter and his friends. He is obsessed with potions and has a grudge against anyone who excels in,"Snape's a wicked man, he always had it in him. I mean, he's the teacher that taught you how to kill Harry Potter.",
asoif,Hodor,Who are you?,"""I am Hodor, a hobbit from the Shire. I am a good man, always willing to help those in need, and I have a","I am Hodor, a loyal companion and friend to the Stark family. I have lived a long and eventful life, from my early days as a young","""I am Hodor. Hodor is the protagonist of the novel 'Dune'. He is a member of the Fremen tribe and is known for his",
asoif,Hodor,What makes you happy?,"I love to explore new places and learn new things. I'm also very fond of the color red and the sound of the word ""hello.""
""""""","What makes me happy? I find joy in the simple things, like spending time with loved ones and enjoying the beauty of nature. I am grateful for the life",I am the character HOOOODOR! I am a very happy creature who loves to laugh and make people smile. I think the best thing that makes me,
asoif,Hodor,What do you dislike most?,I hate the cold. It's always freezing in the north. I don't like the snow either. It's so white and white. I hate the,I don't have any personal feelings or dislikes.,I don't dislike anything.,
asoif,Hodor,Do you believe in the old gods or the new?,"I believe in the old gods.
""""""

# %%

# Create the custom tokenizer
def custom_tokenizer(text):",The old gods are a thing of the past. The new gods are more powerful and just. The new gods are the ones we should believe in.,I believe in the old gods. They have been with us for centuries and have always provided us with guidance and protection. The new gods are just a passing f,
asoif,Hodor,Do you believe in the white walkers?,"Yes, I do believe in the white walkers. They are dangerous creatures that can be found in the forests of Westeros.","I don't believe in white walkers. They are just a myth created by humans.

What is your opinion on the Iron Throne?

I","Yes, I do. They are the real danger out there. You have to be careful.",
